ProduktID,Produkt,Pris,Kategori,Leverandør
1001,QuantumX Pro,502,Hardware,Nordic Tech Solutions
1002,SkyNet Router,3840,Hardware,SmartLiving Products
1003,EcoSmart Thermostat,2100,Hardware,EcoTech Enterprises
1004,Aurora LED Panel,1264,Hardware,Innovative Device Makers
1005,Neptune Water Filter,Tilbehør,3644,EcoFriendly Electronics
1006,SolarFlare Charger,2295,Tilbehør,EcoTech Enterprises
1007,GigaStream Modem,2510,Hardware,SmartLiving Products
1008,TerraFirma GPS Tracker,4727,Tilbehør,EcoFriendly Electronics
1009,LunarLight Projector,1754,Tilbehør,Advanced Home Gadgets
1010,CyberShield Antivirus,3002,Software,FutureTech Supplies
