Produktnummer,Brand,Produkt Navn,Model,Køn,Produkt Beskrivelse DK,Produkt Beskrivelse US, SalgsPris DKK , Kostpris , Pris USD ,Størrelse EU,Størrelse US, Farve ,Materiale,Genanvendelsesgrad, Certificering , Co2 Transport , CO2 PRoduktion , Kontonummer ,,,,,,
KEA-EASE-F-36-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,36,5.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-37-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,37,6.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-38-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,38,7.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-39-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,39,8.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-40-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,40,9.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-41-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,41,10.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-42-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,42,11.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-43-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,43,12.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-38-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,38,7.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-39-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,39,8.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-40-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,40,9.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-41-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,41,10.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-42-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,42,11.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-43-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,43,12.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
